coddepto,codmpio,coca_presence,inf_q
20,20013,0,3
20,20045,0,3
20,20060,0,3
20,20175,0,3
20,20178,0,3
20,20228,0,4
20,20238,0,4
20,20250,0,3
20,20295,0,1
20,20310,0,3
20,20383,1,3
20,20400,0,4
20,20443,0,4
20,20517,1,3
20,20550,1,4
20,20614,0,3
20,20621,0,3
20,20710,0,4
20,20750,0,3
20,20770,1,3
20,20787,0,3
23,23001,0,2
23,23068,0,3
23,23079,0,2
23,23090,0,3
23,23162,0,2
23,23168,0,2
23,23182,0,2
23,23189,0,2
23,23300,0,3
23,23350,1,2
23,23417,0,2
23,23419,0,3
23,23464,0,2
23,23466,1,4
23,23500,0,3
23,23555,0,1
23,23570,0,2
23,23574,0,2
23,23580,1,4
23,23586,0,2
23,23660,0,2
23,23670,0,4
23,23672,0,3
23,23675,0,3
23,23678,0,2
23,23686,0,3
23,23807,1,4
23,23855,1,4
25,25001,0,1
25,25019,0,1
25,25035,0,1
25,25040,0,1
25,25053,0,1
25,25086,0,2
25,25095,0,3
25,25099,0,1
25,25120,0,3
25,25123,0,1
25,25126,0,1
25,25148,1,1
25,25151,0,1
25,25154,0,1
25,25168,0,1
25,25175,0,1
25,25178,0,1
25,25181,0,2
25,25183,0,1
25,25200,0,1
25,25214,0,2
25,25224,0,2
25,25245,0,1
25,25258,0,2
25,25260,0,1
25,25269,0,2
25,25279,0,1
25,25281,0,1
25,25286,0,1
25,25288,0,2
25,25290,0,1
25,25293,0,2
25,25295,0,1
25,25297,0,3
25,25299,0,3
25,25307,0,1
25,25312,0,1
25,25317,0,1
25,25320,0,1
25,25322,0,1
25,25324,0,2
25,25326,0,1
25,25328,0,1
25,25335,0,4
25,25339,0,4
25,25368,0,1
25,25372,0,1
25,25377,0,1
25,25386,0,1
25,25394,0,3
25,25398,0,3
25,25402,0,1
25,25407,0,2
25,25426,0,2
25,25430,0,1
25,25436,0,1
25,25438,0,4
25,25473,0,3
25,25483,0,1
25,25486,0,1
25,25488,0,1
25,25489,0,2
25,25491,0,2
25,25506,0,1
25,25513,0,3
